un_number,name_en,class_or_division,subsidiary_hazard,packing_group,special_provisions,limited_quantity,excepted_quantity,packing_instructions,special_packing_provisions,tank_bulk_instructions,tank_special_provisions,source_page
0102,()†,1.2D,,,,0,E0,P139,PP71,,,205
0103,†,1.4G,,,,0,E0,P140,,,,205
0104,() †,1.4D,,,,0,E0,P139,PP71,,,205
0105,†,1.4S,,,,0,E0,P140,PP73,,,205
0106,†,1.1B,,,,0,E0,P141,,,,205
0107,†,1.2B,,,,0,E0,P141,,,,205
0110,†,1.4S,,,,0,E0,P141,,,,205
0113,30%†,1.1A,,,266,0,E0,P110(a) P110(b),PP42,,,205
0114,( ) 30%†,1.1A,,,266,0,E0,P110(a) P110(b),PP42,,,205
0118,(HEXOTOL) 15%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),,,,205
0121,†,1.1G,,,,0,E0,P142,,,,205
0124,†,1.1D,,,,0,E0,P101,,,,205
0129,20%†,1.1A,,,266,0,E0,P110(a) P110(b),PP42,,,205
0130,( ) 20%†,1.1A,,,266,0,E0,P110(a) P110(b),PP42,,,205
0131,†,1.4S,,,,0,E0,P142,,,,205
0132,†,1.3C,,,,0,E0,P114(a) P114(b),PP26,,,205
0133,( ) 40%†,1.1D,,,266,0,E0,P112(a),,,,205
0135,20%†,1.1A,,,266,0,E0,P110(a) P110(b),PP42,,,205
0136,†,1.1F,,,,0,E0,P130 LP101,,,,205
0137,†,1.1D,,,,0,E0,P130 LP101,PP67 L1,,,205
0138,†,1.2D,,,,0,E0,P130 LP101,PP67 L1,,,205
0143,40% †,1.1D,6.1,,266 271,0,E0,P115,PP53 PP54 PP57 PP58,,,205
0144,1% - 10%†,1.1D,,,358,0,E0,P115,PP45 PP55 PP56 PP59 PP60,,,206
0146,20%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),,,,206
0147,†,1.1D,,,,0,E0,P112(b),,,,206
0150,( ) 25% () 15%†,1.1D,,,266,0,E0,P112(a) P112(b),,,,206
0151,15%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),,,,206
0153,() †,1.1D,,,,0,E0,P112(b) P112(c),,,,206
0154,() 30%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),PP26,,,206
0155,() †,1.1D,,,,0,E0,P112(b) P112(c),,,,206
0159,() 25%†,1.3C,,,266,0,E0,P111,PP43,,,206
0160,†,1.1C,,,,0,E0,P114(b),PP50 PP52,,,206
0161,†,1.3C,,,,0,E0,P114(b),PP50 PP52,,,206
0167,†,1.1F,,,,0,E0,P130 LP101,,,,206
0168,†,1.1D,,,,0,E0,P130 LP101,PP67 L1,,,206
0169,†,1.2D,,,,0,E0,P130 LP101,PP67 L1,,,206
0171,†,1.2G,,,,0,E0,P130 LP101,PP67 L1,,,206
0173,†,1.4S,,,,0,E0,P134 LP102,,,,206
0174,†,1.4S,,,,0,E0,P134 LP102,,,,206
0180,†,1.1F,,,,0,E0,P130 LP101,,,,206
0181,†,1.1E,,,,0,E0,P130 LP101,PP67 L1,,,206
0182,†,1.2E,,,,0,E0,P130 LP101,PP67 L1,,,206
0183,†,1.3C,,,,0,E0,P130 LP101,PP67 L1,,,206
0186,†,1.3C,,,,0,E0,P130 LP101,PP67 L1,,,207
0190,†,,,,16 274,,E0,P101,,,,207
0191,†,1.4G,,,,0,E0,P135,,,,207
0192,†,1.1G,,,,0,E0,P135,,,,207
0193,†,1.4S,,,,0,E0,P135,,,,207
0194,†,1.1G,,,,0,E0,P135,,,,207
0195,†,1.3G,,,,0,E0,P135,,,,207
0196,†,1.1G,,,,0,E0,P135,,,,207
0197,†,1.4G,,,,0,E0,P135,,,,207
0204,†,1.2F,,,,0,E0,P134 LP102,,,,207
0207,†,1.1D,,,,0,E0,P112(b) P112(c),,,,207
0208,( ) †,1.1D,,,,0,E0,P112(b) P112(c),,,,207
0209,() 30%†,1.1D,,,,0,E0,P112(b) P112(c),PP46,,,207
0212,†,1.3G,,,,0,E0,P133,PP69,,,207
0213,†,1.1D,,,,0,E0,P112(b) P112(c),,,,207
0214,30%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),,,,207
0215,30%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),,,,207
0216,†,1.1D,,,,0,E0,P112(b) P112(c),PP26,,,207
0217,†,1.1D,,,,0,E0,P112(b) P112(c),,,,207
0218,†,1.1D,,,,0,E0,P112(b) P112(c),,,,207
0219,() 20%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),PP26,,,207
0220,20%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),,,,207
0221,†,1.1D,,,,0,E0,P130 LP101,PP67 L1,,,207
0222,,1.1D,,,370,0,E0,P112(b) P112(c) IBC100,"PP47 B2, B3, B17",,,207
0224,50%†,1.1A,6.1,,,0,E0,P110(a) P110(b),PP42,,,207
0225,†,1.1B,,,,0,E0,P133,PP69,,,207
0226,(HMX ) 15%†,1.1D,,,266,0,E0,P112(a),PP45,,,208
0234,15%,1.3C,,,,0,E0,P114(a) P114(b),PP26,,,208
0235,20%†,1.3C,,,,0,E0,P114(a) P114(b),PP26,,,208
0236,20%†,1.3C,,,,0,E0,P114(a) P114(b),PP26,,,208
0237,†,1.4D,,,,0,E0,P138,,,,208
0238,†,1.2G,,,,0,E0,P130 LP101,,,,208
0240,†,1.3G,,,,0,E0,P130 LP101,,,,208
0241,E†,1.1D,,,,0,E0,P116 IBC100,PP61 PP62 B10,,,208
0242,†,1.3C,,,,0,E0,P130 LP101,,,,208
0243,†,1.2H,,,,0,E0,P130 LP101,PP67 L1,,,208
0244,†,1.3H,,,,0,E0,P130 LP101,PP67 L1,,,208
0245,†,1.2H,,,,0,E0,P130 LP101,PP67 L1,,,208
0246,†,1.3H,,,,0,E0,P130 LP101,PP67 L1,,,208
0247,†,1.3J,,,,0,E0,P101,,,,208
0248,†,1.2L,,,274,0,E0,P144,PP77,,,208
0249,†,1.3L,,,274,0,E0,P144,PP77,,,208
0250,†,1.3L,,,,0,E0,P101,,,,208
0254,†,1.3G,,,,0,E0,P130 LP101,PP67 L1,,,208
0255,†,1.4B,,,399,0,E0,P131,,,,208
0257,†,1.4B,,,,0,E0,P141,,,,208
0266,( ) 15%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),,,,208
0267,†,1.4B,,,,0,E0,P131,PP68,,,208
0268,†,1.2B,,,,0,E0,P133,PP69,,,208
0271,†,1.1C,,,,0,E0,P143,PP76,,,208
0272,†,1.3C,,,,0,E0,P143,PP76,,,208
0275,†,1.3C,,,,0,E0,P134 LP102,,,,208
0276,†,1.4C,,,,0,E0,P134 LP102,,,,208
0277,†,1.3C,,,,0,E0,P134 LP102,,,,209
0278,†,1.4C,,,,0,E0,P134 LP102,,,,209
0279,†,1.1C,,,,0,E0,P130 LP101,,,,209
0280,†,1.1C,,,,0,E0,P130 LP101,PP67 L1,,,209
0281,†,1.2C,,,,0,E0,P130 LP101,PP67 L1,,,209
0282,() 20%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),,,,209
0283,†,1.2D,,,,0,E0,P132(a) P132(b),,,,209
0284,†,1.1D,,,,0,E0,P141,,,,209
0285,†,1.2D,,,,0,E0,P141,,,,209
0286,†,1.1D,,,,0,E0,P130 LP101,PP67 L1,,,209
0287,†,1.2D,,,,0,E0,P130 LP101,PP67 L1,,,209
0288,†,1.1D,,,,0,E0,P138,,,,209
0289,†,1.4D,,,,0,E0,P139,PP71 PP72,,,209
0290,()†,1.1D,,,,0,E0,P139,PP71,,,209
0291,†,1.2F,,,,0,E0,P130 LP101,,,,209
0292,†,1.1F,,,,0,E0,P141,,,,209
0293,†,1.2F,,,,0,E0,P141,,,,209
0294,†,1.2F,,,,0,E0,P130 LP101,,,,209
0295,†,1.2F,,,,0,E0,P130 LP101,,,,209
0296,†,1.1F,,,,0,E0,P134 LP102,,,,209
0297,†,1.4G,,,,0,E0,P130 LP101,PP67 L1,,,209
0299,†,1.3G,,,,0,E0,P130 LP101,PP67 L1,,,209
0300,†,1.4G,,,,0,E0,P130 LP101,PP67 L1,,,209
0301,†,1.4G,6.1 8,,,0,E0,P130 LP101,PP67 L1,,,209
0303,†,1.4G,,,204,0,E0,P130 LP101,PP67 L1,,,209
0305,†,1.3G,,,,0,E0,P113,PP49,,,209
0306,†,1.4G,,,,0,E0,P133,PP69,,,210
0312,†,1.4G,,,,0,E0,P135,,,,210
0313,†,1.2G,,,,0,E0,P135,,,,210
0314,†,1.2G,,,,0,E0,P142,,,,210
0315,†,1.3G,,,,0,E0,P142,,,,210
0316,†,1.3G,,,,0,E0,P141,,,,210
0317,†,1.4G,,,,0,E0,P141,,,,210
0318,†,1.3G,,,,0,E0,P141,,,,210
0319,†,1.3G,,,,0,E0,P133,,,,210
0320,†,1.4G,,,,0,E0,P133,,,,210
0321,()†,1.2E,,,,0,E0,P130 LP101,PP67 L1,,,210
0322,†,1.2L,,,,0,E0,P101,,,,210
0323,()†,1.4S,,,347,0,E0,P134 LP102,,,,210
0324,†,1.2F,,,,0,E0,P130 LP101,,,,210
0325,†,1.4G,,,,0,E0,P142,,,,210
0326,()†,1.1C,,,,0,E0,P130 LP101,,,,210
0327,() ()†,1.3C,,,,0,E0,P130 LP101,,,,210
0328,()†,1.2C,,,,0,E0,P130 LP101,PP67 L1,,,210
0329,†,1.1E,,,,0,E0,P130 LP101,PP67 L1,,,210
0330,†,1.1F,,,,0,E0,P130 LP101,,,,210
0331,B† (B),1.5D,,,,0,E0,P116 IBC100,PP61 PP62 PP64,T1,TP17 TP32,210
0332,E† (E),1.5D,,,,0,E0,P116 IBC100,PP61 PP62,T1,TP1 TP17 TP32,210
0333,()†,1.1G,,,,0,E0,P135,,,,210
0334,()†,1.2G,,,,0,E0,P135,,,,210
0335,()†,1.3G,,,,0,E0,P135,,,,210
0336,()†,1.4G,,,,0,E0,P135,,,,210
0337,()†,1.4S,,,,0,E0,P135,,,,210
0338,() ()†,1.4C,,,,0,E0,P130 LP101,,,,210
0339,() †,1.4C,,,,0,E0,P130 LP101,,,,210
0340,()25%†,1.1D,,,393,0,E0,P112(a) P112(b),,,,210
0341,18%†,1.1D,,,393,0,E0,P112(b),,,,210
0342,25%†,1.3C,,,105 393,0,E0,P114(a),PP43,,,211
0343,18%†,1.3C,,,105,0,E0,P111,,,,211
0344,†,1.4D,,,,0,E0,P130 LP101,PP67 L1,,,211
0345,†,1.4S,,,,0,E0,P130 LP101,PP67 L1,,,211
0346,†,1.2D,,,,0,E0,P130 LP101,PP67 L1,,,211
0347,†,1.4D,,,,0,E0,P130 LP101,PP67 L1,,,211
0348,()†,1.4F,,,,0,E0,P130 LP101,,,,211
0349,,1.4S,,,178 274 347,0,E0,P101,,,,211
0350,,1.4B,,,178 274,0,E0,P101,,,,211
0351,,1.4C,,,178 274,0,E0,P101,,,,211
0352,,1.4D,,,178 274,0,E0,P101,,,,211
0353,,1.4G,,,178 274,0,E0,P101,,,,211
0354,,1.1L,,,178 274,0,E0,P101,,,,211
0355,,1.2L,,,178 274,0,E0,P101,,,,211
0356,,1.3L,,,178 274,0,E0,P101,,,,211
0357,,1.1L,,,178 274,0,E0,P101,,,,211
0358,,1.2L,,,178 274,0,E0,P101,,,,211
0359,,1.3L,,,178 274,0,E0,P101,,,,211
0360,†,1.1B,,,,0,E0,P131,,,,211
0361,†,1.4B,,,,0,E0,P131,,,,211
0362,†,1.4G,,,,0,E0,P130 LP101,PP67 L1,,,211
0363,†,1.4G,,,,0,E0,P130 LP101,PP67 L1,,,211
0364,†,1.2B,,,,0,E0,P133,,,,211
0365,†,1.4B,,,,0,E0,P133,,,,211
0366,†,1.4S,,,347,0,E0,P133,,,,211
0367,†,1.4S,,,347,0,E0,P141,,,,211
0368,†,1.4S,,,,0,E0,P141,,,,211
0369,†,1.1F,,,,0,E0,P130 LP101,,,,211
0370,†,1.4D,,,,0,E0,P130 LP101,PP67 L1,,,212
0371,†,1.4F,,,,0,E0,P130 LP101,,,,212
0372,†,1.2G,,,,0,E0,P141,,,,212
0373,†,1.4S,,,,0,E0,P135,,,,212
0374,†,1.1D,,,,0,E0,P134 LP102,,,,212
0375,†,1.2D,,,,0,E0,P134 LP102,,,,212
0376,†,1.4S,,,,0,E0,P133,,,,212
0377,†,1.1B,,,,0,E0,P133,,,,212
0378,†,1.4B,,,,0,E0,P133,,,,212
0379,†,1.4C,,,,0,E0,P136,,,,212
0380,†,1.2L,,,,0,E0,P101,,,,212
0381,()†,1.2C,,,,0,E0,P134 LP102,,,,212
0382,†,1.2B,,,178 274,0,E0,P101,,,,212
0383,†,1.4B,,,178 274,0,E0,P101,,,,212
0384,†,1.4S,,,178 274 347,0,E0,P101,,,,212
0385,5-†,1.1D,,,,0,E0,P112(b) P112(c),,,,212
0386,†,1.1D,,,,0,E0,P112(b) P112(c),PP26,,,212
0387,†,1.1D,,,,0,E0,P112(b) P112(c),,,,212
0388,() ( )†,1.1D,,,,0,E0,P112(b) P112(c),,,,212
0389,()†,1.1D,,,,0,E0,P112(b) P112(c),,,,212
0390,†,1.1D,,,,0,E0,P112(b) P112(c),,,,212
0391,( RDX) (HMX ) 15% ( RDX) (HMX ) 10%†,1.1D,,,266,0,E0,P112(a) P112(b),,,,212
0392,†,1.1D,,,,0,E0,P112(b) P112(c),,,,212
0393,†,1.1D,,,,0,E0,P112(b),,,,212
0394,() 20%†,1.1D,,,,0,E0,P112(a),PP26,,,213
0395,†,1.2J,,,,0,E0,P101,,,,213
0396,†,1.3J,,,,0,E0,P101,,,,213
0397,†,1.1J,,,,0,E0,P101,,,,213
0398,†,1.2J,,,,0,E0,P101,,,,213
0399,†,1.1J,,,,0,E0,P101,,,,213
0400,†,1.2J,,,,0,E0,P101,,,,213
0401,10%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),,,,213
0402,†,1.1D,,,152,0,E0,P112(b) P112(c),,,,213
0403,†,1.4G,,,,0,E0,P135,,,,213
0404,†,1.4S,,,,0,E0,P135,,,,213
0405,†,1.4S,,,,0,E0,P135,,,,213
0406,†,1.3C,,,,0,E0,P114(b),,,,213
0407,-1-†,1.4C,,,,0,E0,P114(b),,,,213
0408,†,1.1D,,,,0,E0,P141,,,,213
0409,†,1.2D,,,,0,E0,P141,,,,213
0410,†,1.4D,,,,0,E0,P141,,,,213
0411,( )7%†,1.1D,,,131,0,E0,P112(b) P112(c),,,,213
0412,()†,1.4E,,,,0,E0,P130 LP101,PP67 L1,,,213
0413,()†,1.2C,,,,0,E0,P130 LP101,,,,213
0414,†,1.2C,,,,0,E0,P130 LP101,,,,213
0415,†,1.2C,,,,0,E0,P143,PP76,,,213
0417,() †,1.3C,,,,0,E0,P130 LP101,,,,213
0418,†,1.1G,,,,0,E0,P135,,,,213
0419,†,1.2G,,,,0,E0,P135,,,,213
0420,†,1.1G,,,,0,E0,P135,,,,213
0421,†,1.2G,,,,0,E0,P135,,,,213
0424,†,1.3G,,,,0,E0,P130 LP101,PP67 L1,,,213
0425,†,1.4G,,,,0,E0,P130 LP101,PP67 L1,,,213
0426,†,1.2F,,,,0,E0,P130 LP101,,,,213
0427,†,1.4F,,,,0,E0,P130 LP101,,,,213
0428,†,1.1G,,,,0,E0,P135,,,,213
0429,†,1.2G,,,,0,E0,P135,,,,213
0430,†,1.3G,,,,0,E0,P135,,,,213
0431,†,1.4G,,,,0,E0,P135,,,,214
0432,†,1.4S,,,,0,E0,P135,,,,214
0433,() 17%†,1.1C,,,266,0,E0,P111,,,,214
0434,†,1.2G,,,,0,E0,P130 LP101,PP67 L1,,,214
0435,†,1.4G,,,,0,E0,P130 LP101,PP67 L1,,,214
0436,†,1.2C,,,,0,E0,P130 LP101,PP67 L1,,,214
0437,†,1.3C,,,,0,E0,P130 LP101,PP67 L1,,,214
0438,†,1.4C,,,,0,E0,P130 LP101,PP67 L1,,,214
0439,†,1.2D,,,,0,E0,P137,PP70,,,214
0440,†,1.4D,,,,0,E0,P137,PP70,,,214
0441,†,1.4S,,,347,0,E0,P137,PP70,,,214
0442,†,1.1D,,,,0,E0,P137,,,,214
0443,†,1.2D,,,,0,E0,P137,,,,214
0444,†,1.4D,,,,0,E0,P137,,,,214
0445,†,1.4S,,,347,0,E0,P137,,,,214
0446,†,1.4C,,,,0,E0,P136,,,,214
0447,†,1.3C,,,,0,E0,P136,,,,214
0448,5--1-†,1.4C,,,,0,E0,P114(b),,,,214
0449,†,1.1J,,,,0,E0,P101,,,,214
0450,†,1.3J,,,,0,E0,P101,,,,214
0451,†,1.1D,,,,0,E0,P130 LP101,PP67 L1,,,214
0452,†,1.4G,,,,0,E0,P141,,,,214
0453,†,1.4G,,,,0,E0,P130 LP101,,,,214
0454,†,1.4S,,,,0,E0,P142,,,,214
0455,†,1.4S,,,347,0,E0,P131,PP68,,,214
0456,†,1.4S,,,347 399,0,E0,P131,,,,214
0457,,1.1D,,,,0,E0,P130 LP101,,,,214
0458,,1.2D,,,,0,E0,P130 LP101,,,,214
0459,,1.4D,,,,0,E0,P130 LP101,,,,214
0460,,1.4S,,,347,0,E0,P130 LP101,,,,214
0461,†,1.1B,,,178 274,0,E0,P101,,,,214
0462,,1.1C,,,178 274,0,E0,P101,,,,214
0463,,1.1D,,,178 274,0,E0,P101,,,,215
0464,,1.1E,,,178 274,0,E0,P101,,,,215
0465,,1.1F,,,178 274,0,E0,P101,,,,215
0466,,1.2C,,,178 274,0,E0,P101,,,,215
0467,,1.2D,,,178 274,0,E0,P101,,,,215
0468,,1.2E,,,178 274,0,E0,P101,,,,215
0469,,1.2F,,,178 274,0,E0,P101,,,,215
0470,,1.3C,,,178 274,0,E0,P101,,,,215
0471,,1.4E,,,178 274,0,E0,P101,,,,215
0472,,1.4F,,,178 274,0,E0,P101,,,,215
0473,,1.1A,,,178 274,0,E0,P101,,,,215
0474,,1.1C,,,178 274,0,E0,P101,,,,215
0475,,1.1D,,,178 274,0,E0,P101,,,,215
0476,,1.1G,,,178 274,0,E0,P101,,,,215
0477,,1.3C,,,178 274,0,E0,P101,,,,215
0478,,1.3G,,,178 274,0,E0,P101,,,,215
0479,,1.4C,,,178 274,0,E0,P101,,,,215
0480,,1.4D,,,178 274,0,E0,P101,,,,215
0481,,1.4S,,,178 274 347,0,E0,P101,,,,215
0482,†,1.5D,,,178 274,0,E0,P101,,,,215
0483,( RDX),1.1D,,,,0,E0,P112(b) P112(c),,,,215
0484,( HMX),1.1D,,,,0,E0,P112(b) P112(c),,,,215
0485,,1.4G,,,178 274,0,E0,P101,,,,215
0486,†,1.6N,,,,0,E0,P101,,,,215
0487,†,1.3G,,,,0,E0,P135,,,,215
0488,†,1.3G,,,,0,E0,P130 LP101,PP67 L1,,,215
0489,(DINGU) †,1.1D,,,,0,E0,P112(b) P112(c),,,,216
0490,(NTO) †,1.1D,,,,0,E0,P112(b) P112(c),,,,216
0491,†,1.4C,,,,0,E0,P143,PP76,,,216
0492,†,1.3G,,,,0,E0,P135,,,,216
0493,†,1.4G,,,,0,E0,P135,,,,216
0494,†,1.4D,,,,0,E0,P101,,,,216
0495,†,1.3C,,,224,0,E0,P115,PP53 PP54 PP57 PP58,,,216
0496,†,1.1D,,,,0,E0,P112(b) P112(c),,,,216
0497,†,1.1C,,,224,0,E0,P115,PP53 PP54 PP57 PP58,,,216
0498,†,1.1C,,,,0,E0,P114(b),,,,216
0499,†,1.3C,,,,0,E0,P114(b),,,,216
0500,†,1.4S,,,347,0,E0,P131,,,,216
0501,†,1.4C,,,,0,E0,P114(b),,,,216
0502,†,1.2C,,,,0,E0,P130 LP101,PP67 L1,,,216
0503,†,1.4G,,,235 289,0,E0,P135,,,,216
0504,1H,1.1D,,,,0,E0,P112(c),PP48,,,216
0505,†,1.4G,,,,0,E0,P135,,,,216
0506,†,1.4S,,,,0,E0,P135,,,,216
0507,†,1.4S,,,,0,E0,P135,,,,216
0508,1- 20%,1.3C,,,,0,E0,P114(b),PP48 PP50,,,216
0509,†,1.4C,,,,0,E0,P114(b),PP48,,,216
0510,†,1.4C,,,,0,E0,P130 LP101,PP67 L1,,,216
0511,†,1.1B,,,399,0,E0,P131,,,,216
0512,,1.4B,,,399,0,E0,P131,,,,216
0513,,1.4S,,,347 399,0,E0,P131,,,,216
0514,,1.4S,,,407,0,E0,P135,,,,216
1001,,2.1,,,,0,E0,P200,,,,216
1002,,2.2,,,392 397,120 ml,E1,P200,,,,216
1003,,2.2,5.1,,,0,E0,P203,,T75,TP5 TP22,216
1005,,2.3,8,,23 379,0,E0,P200,,T50,,217
1006,,2.2,,,378 392 406,120 ml,E1,P200,,,,217
1008,,2.3,8,,373,0,E0,P200,,,,217
1009,(R 13B1),2.2,,,,120 ml,E1,P200,,T50,,217
1010,20%,2.1,,,386 402,0,E0,P200,,T50,,217
1011,,2.1,,,392,0,E0,P200,,T50,,217
1012,,2.1,,,398,0,E0,P200,,T50,,217
1013,,2.2,,,378 392 406,120 ml,E1,P200,,,,217
1016,,2.3,2.1,,,0,E0,P200,,,,217
1017,,2.3,5.1 8,,,0,E0,P200,,T50,TP19,217
1018,(R 22),2.2,,,,120 ml,E1,P200,,T50,,217
1020,(R 115),2.2,,,,120 ml,E1,P200,,T50,,217
1021,"1--1,2,2,2- (R 124)",2.2,,,,120 ml,E1,P200,,T50,,217
1022,(R 13),2.2,,,,120 ml,E1,P200,,,,217
1023,,2.3,2.1,,,0,E0,P200,,,,217
1026,,2.3,2.1,,,0,E0,P200,,,,217
1027,,2.1,,,,0,E0,P200,,T50,,217
1028,(R 12),2.2,,,,120 ml,E1,P200,,T50,,217
1029,(R 21),2.2,,,,120 ml,E1,P200,,T50,,217
1030,"1,1-(R 152a)",2.1,,,,0,E0,P200,,T50,,217
1032,,2.1,,,,0,E0,P200,,T50,,217
1033,,2.1,,,,0,E0,P200,,T50,,217
1035,,2.1,,,,0,E0,P200,,,,217
1036,,2.1,,,,0,E0,P200,,T50,,217
1037,,2.1,,,,0,E0,P200,,T50,,217
1038,,2.1,,,,0,E0,P203,,T75,TP5,217
1039,,2.1,,,,0,E0,P200,,,,217
1040,50 1 (10),2.3,2.1,,342,0,E0,P200,,T50,TP20,217
1041,9% - 87%,2.1,,,,0,E0,P200,,T50,,217
1043,,2.2,,,,120 ml,E0,P200,,,,217
1044,,2.2,,,225,120 ml,E0,P003,PP91,,,218
1045,,2.3,5.1 8,,,0,E0,P200,,,,218
1046,,2.2,,,378 392 406,120 ml,E1,P200,,,,218
1048,,2.3,8,,,0,E0,P200,,,,218
1049,,2.1,,,392,0,E0,P200,,,,218
1050,,2.3,8,,,0,E0,P200,,,,218
1051,3%,6.1,3,I,386,0,E0,P200,,,,218
1052,,8,6.1,I,,0,E0,P200,,T10,TP2,218
1053,,2.3,2.1,,,0,E0,P200,,,,218
1055,,2.1,,,,0,E0,P200,,T50,,218
1056,,2.2,,,378 392,120 ml,E1,P200,,,,218
1057,,2.1,,,201,0,E0,P002,PP84,,,218
1058,,2.2,,,392,120 ml,E1,P200,,,,218
1060,,2.1,,,386,0,E0,P200,,T50,,218
1061,,2.1,,,,0,E0,P200,,T50,,218
1062,2%,2.3,,,23,0,E0,P200,,T50,,218
1063,(R 40),2.1,,,,0,E0,P200,,T50,,218
1064,,2.3,2.1,,,0,E0,P200,,T50,,218
1065,,2.2,,,378 392,120 ml,E1,P200,,,,218
1066,,2.2,,,378 392 406,120 ml,E1,P200,,,,218
1067,(),2.3,5.1 8,,,0,E0,P200,,T50,TP21,218
1069,,2.3,8,,,0,E0,P200,,,,218
1070,,2.2,5.1,,,0,E0,P200,,,,218
1071,,2.3,2.1,,,0,E0,P200,,,,218
1072,,2.2,5.1,,355,0,E0,P200,,,,218
1073,,2.2,5.1,,,0,E0,P203,,T75,TP5 TP22,218
1075,,2.1,,,392,0,E0,P200,,T50,,218
1076,,2.3,8,,,0,E0,P200,,,,218
1077,,2.1,,,,0,E0,P200,,T50,,218
1078,,2.2,,,274,120 ml,E1,P200,,T50,,218
